topic_id,year,rank,word_phi,phi,word_relevance,relevance
8,2002,13,blouse,0.005459446548606135,similar,9.126244339292292
8,2002,14,lace,0.005459446548606135,stylist,9.126244339292292
8,2002,15,trouser,0.005288838843962193,minidress,9.065619717475858
8,2002,16,pink,0.005118231139318251,abundance,9.065619717475858
8,2002,17,signature,0.00453816494352885,forty,9.001081196338287
8,2002,18,leather,0.004231071075169754,broderie,9.001081196338287
8,2002,19,pant,0.004094584911454601,marabou,9.001081196338287
8,2002,20,shirt,0.003889855665881871,cat,8.932088324851334
9,2002,1,jacket,0.020008598736647155,outing,9.845309988990248
9,2002,2,skirt,0.012865032906703707,slipdresse,9.75829861200062
9,2002,3,pant,0.01226973575420842,skirtsuit,9.727526953333868
9,2002,4,silk,0.011641366537685617,languid,9.695778255019288
9,2002,5,coat,0.008731024903264212,shirting,9.629086880520614
9,2002,6,print,0.008697952839236698,mohair,9.593995560709345
9,2002,7,leather,0.007110493765915931,buyer,9.480666875402342
9,2002,8,wool,0.006151403909117968,gear,9.439844880882085
9,2002,9,white,0.00588682739689784,sack,9.257523324088131
9,2002,10,trouser,0.005390746436485101,stylist,9.257523324088131
9,2002,11,cotton,0.004795449283989814,trio,9.206230029700581
9,2002,12,short,0.004729305155934782,similar,9.206230029700581
9,2002,13,hand,0.004365512451632106,cocoon,9.206230029700581
9,2002,14,belt,0.004100935939411979,solution,9.095004394590356
9,2002,15,suit,0.0040678638753844625,program,9.034379772773923
9,2002,16,blue,0.0040678638753844625,desert,8.96984125163635
9,2002,17,sweater,0.004001719747329431,easygoing,8.900848380149398
9,2002,18,soft,0.003869431491219367,conversation,8.826740407995675
9,2002,19,bag,0.003869431491219367,product,8.826740407995675
9,2002,20,button,0.003869431491219367,sole,8.826740407995675
0,2003,1,skirt,0.015079262791596855,precision,9.732217131009769
0,2003,2,jacket,0.013983760793916743,sensible,9.371203785472439
0,2003,3,leather,0.013017141384198995,evolution,9.371203785472439
0,2003,4,white,0.011986080680500064,catwalk,9.326752022901605
0,2003,5,short,0.007314086866864287,roomy,9.280232007266711
0,2003,6,trouser,0.007249645572883104,consistent,9.23144184309728
0,2003,7,coat,0.007152983631911329,overlay,9.180148548709727
0,2003,8,shirt,0.007152983631911329,con,9.180148548709727
0,2003,9,pant,0.007056321690939554,nonsense,9.126081327439454
0,2003,10,print,0.006283026163165356,sale,9.126081327439454
0,2003,11,sleeve,0.005638613223353525,dolman,9.068922913599504
0,2003,12,silk,0.005606392576362933,broad,9.068922913599504
0,2003,13,waist,0.005090862224513468,monastic,9.008298291783069
0,2003,14,suit,0.005090862224513468,architecture,8.943759770645496
0,2003,15,pleated,0.004961979636551102,tassel,8.874766899158548
0,2003,16,strong,0.004768655754607553,translucent,8.874766899158548
0,2003,17,blazer,0.004478669931692229,booty,8.874766899158548
0,2003,18,shoulder,0.0043175666967392706,finalist,8.874766899158548
0,2003,19,signature,0.0043175666967392706,opposite,8.874766899158548
0,2003,20,spring,0.00409202216780513,effective,8.874766899158548
1,2003,1,skirt,0.01759539154736782,slit,10.224499254700365
1,2003,2,gown,0.015827297096902983,lineup,9.942266787016148
1,2003,3,silk,0.012633320025095535,jeweled,9.639985915143217
1,2003,4,white,0.010865225574630696,dimensional,9.445829900702257
1,2003,5,jacket,0.010637084355215879,painting,9.409462256531384
1,2003,6,coat,0.010294872526093651,echo,9.249119606456205
1,2003,7,print,0.008669366337763076,overlay,9.249119606456205
1,2003,8,leather,0.006986824844578794,skirtsuit,9.204667843885371
1,2003,9,simple,0.006901271887298238,catwalk,9.204667843885371
1,2003,10,number,0.006045742314492671,optical,9.158147828250478
1,2003,11,lace,0.005732048137797296,excess,9.158147828250478
1,2003,12,sleeve,0.005675012832943592,golden,9.058064369693493
1,2003,13,cocktail,0.005275765698967661,stylist,9.00399714842322
1,2003,14,pant,0.005275765698967661,portrait,8.94683873458327
1,2003,15,wool,0.004648377345576912,retail,8.94683873458327
1,2003,16,chiffon,0.004562824388296355,architectural,8.821675591629262
1,2003,17,shoulder,0.00436320082130839,gazar,8.821675591629262
1,2003,18,satin,0.004334683168881538,sand,8.821675591629262
1,2003,19,beaded,0.0042776478640278335,wedding,8.821675591629262
1,2003,20,pink,0.004249130211600981,alpaca,8.821675591629262
2,2003,1,print,0.018255578093306288,lineup,10.689316065376413
2,2003,2,jacket,0.012105991822016163,appropriate,9.923848223236842
2,2003,3,leather,0.010109791042853923,sunglass,9.530805635127233
2,2003,4,skirt,0.008821919572426671,stylist,9.493065307144388
